11.334632926045536, 48585710.99618335
13.991103103742107, 144292408.9220858
17.800207225360747, 85539352.16210853
22.29177456978023, 195301153.33177546
28.334437521942682, 246713520.29168627
35.00617927838511, 355342919.4455596
44.48637566678088, 529130904.4823252
55.75446393348008, 646663226.9847369
70.86218531306791, 872443346.8281522
87.56181819694713, 1101666378.5671043
111.2928325742265, 1438214627.919993
141.46684806572924, 1758030396.9585772
177.30656865595998, 2079007008.8330069
222.2350223394623, 2379030791.5452676
282.5107895075722, 2722900763.0944386
354.1116728256041, 3015021819.274142
450.210236294512, 3126553167.3661637
548.6601656332837, 3135398820.7264643
697.6114640610524, 3044368514.8952436
887.1077472385325, 2678213909.536351
1096.7419816450465, 2205195467.6434894
1414.7826776399029, 1646097108.8622422
1749.677693508567, 1041774135.9070834
2226.3002796615833, 559550969.0989019
2833.5581126262805, 238730268.38482955
3507.406198054337, 73273240.69344968
4404.865192351856, 16730224.900081996
