3.50,3.55,3.2930e-02,8.3920e-05,6.6700e-04,7.2810e-05
3.55,3.60,3.1490e-02,1.4500e-04,5.1050e-04,4.1600e-05
3.60,3.65,3.0400e-02,1.3540e-04,4.1680e-04,1.4560e-04
3.65,3.70,2.8610e-02,1.9650e-04,4.2750e-04,7.2810e-05
3.70,3.75,2.8150e-02,3.2420e-05,4.1720e-04,4.1600e-05
3.75,3.80,2.7270e-02,1.3540e-04,4.5880e-04,5.2010e-05
3.80,3.85,2.5100e-02,1.6590e-04,2.3980e-04,6.2410e-05
3.85,3.90,2.6250e-02,2.8230e-04,3.4390e-04,4.1600e-05
3.90,3.95,2.2930e-02,4.0050e-05,2.7100e-04,4.1600e-05
3.95,4.00,2.2580e-02,1.2680e-04,3.2320e-04,1.0400e-04
4.00,4.05,2.0980e-02,1.4590e-04,2.5010e-04,4.1600e-05
4.05,4.10,1.9680e-02,3.1470e-05,2.2940e-04,4.1600e-05
4.10,4.15,1.8080e-02,3.0520e-05,1.5630e-04,3.1200e-05
4.15,4.20,1.7470e-02,1.5640e-04,1.6680e-04,1.0400e-05
4.20,4.25,1.6460e-02,1.5640e-04,6.2530e-05,2.0800e-05
4.25,4.30,1.6390e-02,9.5370e-06,6.2580e-05,4.1600e-05
4.30,4.35,1.4660e-02,0.0000e+00,9.3820e-05,2.0800e-05
4.35,4.40,1.4340e-02,3.1470e-05,1.8770e-04,1.0400e-05
4.40,4.45,1.3170e-02,1.0490e-05,1.2520e-04,2.0800e-05
4.45,4.50,1.2530e-02,0.0000e+00,1.4580e-04,3.1200e-05
4.50,4.55,1.2070e-02,0.0000e+00,1.0420e-04,0.0000e+00
4.55,4.60,1.0820e-02,0.0000e+00,9.3820e-05,2.0800e-05
4.60,4.65,1.0960e-02,2.0980e-05,9.3820e-05,2.0800e-05
4.65,4.70,9.8110e-03,0.0000e+00,8.3390e-05,1.0400e-05
4.70,4.75,9.2770e-03,0.0000e+00,5.2150e-05,1.0400e-05
4.75,4.80,8.9570e-03,1.0490e-05,5.2090e-05,3.1200e-05
4.80,4.85,7.9040e-03,1.0490e-05,3.1290e-05,0.0000e+00
4.85,4.90,7.2480e-03,0.0000e+00,5.2150e-05,0.0000e+00
4.90,4.95,6.8660e-03,0.0000e+00,3.1230e-05,1.0400e-05
4.95,5.00,7.0190e-03,0.0000e+00,4.1720e-05,0.0000e+00
5.00,5.05,5.8900e-03,0.0000e+00,0.0000e+00,0.0000e+00
5.05,5.10,5.9200e-03,0.0000e+00,3.1290e-05,0.0000e+00
5.10,5.15,5.2950e-03,0.0000e+00,2.0860e-05,0.0000e+00
5.15,5.20,4.5620e-03,0.0000e+00,4.1660e-05,0.0000e+00
5.20,5.25,4.5470e-03,1.0490e-05,1.0430e-05,0.0000e+00
5.25,5.30,4.4100e-03,0.0000e+00,1.0430e-05,0.0000e+00
5.30,5.35,4.1500e-03,0.0000e+00,0.0000e+00,0.0000e+00
5.35,5.40,3.9670e-03,0.0000e+00,2.0800e-05,1.0400e-05
5.40,5.45,3.4640e-03,0.0000e+00,0.0000e+00,0.0000e+00
5.45,5.50,3.1130e-03,0.0000e+00,0.0000e+00,0.0000e+00
5.50,5.55,3.0060e-03,0.0000e+00,2.0860e-05,0.0000e+00
5.55,5.60,2.5020e-03,0.0000e+00,0.0000e+00,0.0000e+00
5.60,5.65,2.3800e-03,0.0000e+00,2.0800e-05,0.0000e+00
5.65,5.70,2.2130e-03,0.0000e+00,0.0000e+00,0.0000e+00
