0.208333,	0.416667,	6.600993387876185e-05
0.416667,	0.625,	0.0001103692560506398
0.625,	0.833333,	0.00016498038721337685
0.833333,	1.041667,	0.00021192865952731377
1.041667,	1.25,	0.00025487468530911196
1.25,	1.458333,	0.00028135668888067995
1.458333,	1.666667,	0.00029854896469361475
1.666667,	1.875,	0.0003295688156439577
1.875,	2.083333,	0.0003428611898972551
2.083333,	2.291667,	0.00034970708923693446
2.291667,	2.5,	0.0003428611898972551
2.5,	2.708333,	0.0003274040709769064
2.708333,	2.916667,	0.00030250993461111605
2.916667,	3.125,	0.0002686723608575302
3.125,	3.333333,	0.00021156609821798903
3.333333,	3.541667,	0.00015243611968268907
3.541667,	3.75,	0.00011866715009969429
3.75,	3.958333,	8.879753768901369e-05
3.958333,	4.166667,	5.481159039002626e-05
4.166667,	4.375,	5.48115903900266e-05
4.375,	4.583333,	5.481159039002626e-05
4.583333,	4.791667,	2.656637778569262e-05
4.791667,	5.0,	2.656637778569262e-05
5.0,	5.277778,	1.4561454173360768e-05
5.277778,	5.555556,	1.4561454173360768e-05
5.555556,	5.833333,	9.664139821947615e-06
5.833333,	6.111111,	9.664139821947615e-06
6.111111,	6.388889,	7.253274683581095e-06
6.388889,	6.666667,	7.253274683581095e-06
6.666667,	6.944444,	6.156267854890386e-06
6.944444,	7.222222,	5.29706873392534e-06
7.222222,	7.5,	5.29706873392534e-06
7.5,	7.777778,	5.260999363547844e-06
7.777778,	8.055556,	5.225175600608141e-06
8.055556,	8.333333,	4.557783682144365e-06
8.333333,	8.611111,	4.557783682144365e-06
8.611111,	8.888889,	4.557783682144365e-06
8.888889,	9.166667,	4.085789277822574e-06
9.166667,	9.444444,	4.085789277822574e-06
9.444444,	9.722222,	4.085789277822574e-06
9.722222,	10.0,	4.085789277822574e-06
10.0,	10.357143,	3.46784235951426e-06
10.357143,	10.714286,	3.46784235951426e-06
10.714286,	11.071429,	3.46784235951426e-06
11.071429,	11.428571,	3.46784235951426e-06
11.428571,	11.785714,	3.46784235951426e-06
11.785714,	12.142857,	3.46784235951426e-06
12.142857,	12.5,	2.0915814306498816e-06
12.5,	12.857143,	2.0915814306498816e-06
12.857143,	13.214286,	2.0915814306498816e-06
13.214286,	13.571429,	2.0915814306498816e-06
13.571429,	13.928571,	2.0915814306498816e-06
13.928571,	14.285714,	2.0915814306498816e-06
14.285714,	14.642857,	2.0915814306498816e-06
14.642857,	15.0,	2.0915814306498816e-06
15.0,	15.357143,	2.0915814306498816e-06
15.357143,	15.714286,	2.0915814306498816e-06
15.714286,	16.071429,	2.0915814306498816e-06
16.071429,	16.428571,	9.087762597309831e-07
16.428571,	16.785714,	9.087762597309831e-07
16.785714,	17.142857,	9.087762597309831e-07
17.142857,	17.5,	9.087762597309831e-07
17.5,	17.857143,	9.087762597309831e-07
17.857143,	18.214286,	9.087762597309831e-07
18.214286,	18.571429,	9.087762597309831e-07
18.571429,	18.928571,	9.087762597309831e-07
18.928571,	19.285714,	9.087762597309831e-07
19.285714,	19.642857,	9.087762597309831e-07
19.642857,	20.0,	9.087762597309831e-07
20.0,	20.357143,	0
20.357143,	20.714286,	0
20.714286,	21.071429,	0
21.071429,	21.428571,	0
21.428571,	21.785714,	0
21.785714,	22.142857,	0
22.142857,	22.5,	0
22.5,	22.857143,	0
22.857143,	23.214286,	0
23.214286,	23.571429,	0
23.571429,	23.928571,	0
23.928571,	24.285714,	0
24.285714,	24.642857,	0
24.642857,	25.0,	0
25.0,	25.357143,	0
25.357143,	25.714286,	0
25.714286,	26.071429,	0
26.071429,	26.428571,	0
26.428571,	26.785714,	0
26.785714,	27.142857,	0
27.142857,	27.5,	0
27.5,	27.857143,	0
27.857143,	28.214286,	0
28.214286,	28.571429,	0
28.571429,	28.928571,	0
28.928571,	29.285714,	0
29.285714,	29.642857,	0
29.642857,	30.0,	0
30.0,	30.357143,	0
30.357143,	30.714286,	0
30.714286,	31.071429,	0
31.071429,	31.428571,	0
31.428571,	31.785714,	0
31.785714,	32.142857,	0
32.142857,	32.5,	0
32.5,	32.857143,	0
32.857143,	33.214286,	0
33.214286,	33.571429,	0
33.571429,	33.928571,	0
33.928571,	34.285714,	0
34.285714,	34.642857,	0
34.642857,	35.0,	0
35.0,	35.357143,	0
35.357143,	35.714286,	0
35.714286,	36.071429,	0
36.071429,	36.428571,	0
36.428571,	36.785714,	0
36.785714,	37.142857,	0
37.142857,	37.5,	0
37.5,	37.857143,	0
37.857143,	38.214286,	0
38.214286,	38.571429,	0
38.571429,	38.928571,	0
38.928571,	39.285714,	0
39.285714,	39.642857,	0
39.642857,	40.0,	0
40.0,	40.357143,	0
40.357143,	40.714286,	0
40.714286,	41.071429,	0
41.071429,	41.428571,	0
41.428571,	41.785714,	0
41.785714,	42.142857,	0
42.142857,	42.5,	0
42.5,	42.857143,	0
42.857143,	43.214286,	0
43.214286,	43.571429,	0
43.571429,	43.928571,	0
43.928571,	44.285714,	0
44.285714,	44.642857,	0
44.642857,	45.0,	0
45.0,	45.357143,	0
45.357143,	45.714286,	0
45.714286,	46.071429,	0
46.071429,	46.428571,	0
46.428571,	46.785714,	0
46.785714,	47.142857,	0
47.142857,	47.5,	0
47.5,	47.857143,	0
47.857143,	48.214286,	0
48.214286,	48.571429,	0
48.571429,	48.928571,	0
48.928571,	49.285714,	0
49.285714,	49.642857,	0
49.642857,	50.0,	0
50.0,	50.357143,	0
50.357143,	50.714286,	0
50.714286,	51.071429,	0
51.071429,	51.428571,	0
51.428571,	51.785714,	0
51.785714,	52.142857,	0
